Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,FK,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
245,Nélson Lenho,pt POR,DF,Aves,33,1984,22,22,1897,21.1,0,2,2,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,Matches,2017-2018,Portugal,1,0,0.0,0.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,38,,,,,,,,,,,,,,,,,0,33,1,71,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,62.0,,18,0,,2,0.86,19,29,-10,-0.47,-0.09
246,Licá,pt POR,"FW,MF",Belenenses,28,1988,14,12,1120,12.4,3,0,3,3,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,2017-2018,Portugal,30,13,43.3,2.41,1.04,0.10,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,0,43,7,12,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,36.6,,9,2,,0,1.14,16,18,-2,-0.16,+0.35
247,Rúben Lima,pt POR,DF,Moreirense,27,1989,33,33,2970,33.0,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,2017-2018,Portugal,0,1,,0.00,0.03,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,89,,,,,,,,,,,,,,,,,0,36,2,140,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,97.1,,33,0,,0,0.97,29,49,-20,-0.61,+0.39
248,Lionn,br BRA,DF,Rio Ave,28,1989,28,28,2338,26.0,0,5,5,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,Matches,2017-2018,Portugal,11,16,145.5,0.42,0.62,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,41,,,,,,,,,,,,,,,,,0,39,0,69,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,76.4,,21,0,,0,1.64,29,29,0,0.00,+0.25
249,Diego Lopes,br BRA,MF,Rio Ave,23,1994,12,9,680,7.6,2,0,2,2,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,2017-2018,Portugal,13,7,53.8,1.72,0.93,0.15,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,5,,,,,,,,,,,,,,,,,0,14,3,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,22.2,,0,3,,2,1.25,8,8,0,0.00,+0.08
250,Lisandro López,ar ARG,DF,Benfica,27,1989,4,2,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,2,0,0.0,0.76,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,7.8,,1,2,,6,2.50,9,3,+6,+2.27,+0.61
251,Lucão,br BRA,DF,Estoril,21,1996,7,6,619,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,4,1,25.0,0.58,0.15,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,13,,,,,,,,,,,,,,,,,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,20.2,,6,1,,3,0.14,2,21,-19,-2.76,-2.28
252,Luisão,br BRA,DF,Benfica,36,1981,16,16,1440,16.0,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,2017-2018,Portugal,18,6,33.3,1.13,0.37,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,32,,,,,,,,,,,,,,,,,0,26,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,47.1,,16,0,,14,2.25,35,12,+23,+1.44,-0.51
253,Andrej Lukić,hr CRO,DF,Braga,23,1994,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,0,1,,0.00,0.50,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,5.9,,2,0,,5,2.00,7,3,+4,+2.00,+0.72
254,Viktor Lundberg,se SWE,FW,Marítimo,26,1991,3,1,114,1.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018,Portugal,2,1,50.0,1.58,0.79,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3.7,,1,2,,1,3.00,1,0,+1,+0.79,+1.22
