Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Season,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
48,Álex Alegría,es ESP,FW,Betis,es La Liga,23,1992,25,15,1438,16.0,3,2,5,3,0,0,2,0,0.19,0.13,0.31,0.19,0.31,Matches,2016-2017,,,,,,,,,,,,
49,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,19,1996,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
50,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,18,1998,3,0,43,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
51,Romain Alessandrini,fr FRA,"FW,MF",Marseille,fr Ligue 1,27,1989,6,3,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
52,Alexander,ar ARG,MF,Leganés,es La Liga,27,1988,28,24,2031,22.6,8,2,10,7,1,2,1,0,0.35,0.09,0.44,0.31,0.40,Matches,2016-2017,,,,,,,,,,,,
53,Trent Alexander-Arnold,eng ENG,"MF,DF",Liverpool,eng Premier League,17,1998,7,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
54,Alexis,es ESP,DF,Alavés,es La Liga,30,1985,24,19,1819,20.2,2,1,3,2,0,0,10,1,0.10,0.05,0.15,0.10,0.15,Matches,2016-2017,,,,,,,,,,,,
55,Jérémie Aliadière,fr FRA,FW,Lorient,fr Ligue 1,33,1983,13,6,487,5.4,1,2,3,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches,2016-2017,,,,,,,,,,,,
56,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,de Bundesliga,30,1986,12,0,181,2.0,1,0,1,0,1,1,2,0,0.50,0.00,0.50,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
57,Allan,br BRA,MF,Napoli,it Serie A,25,1991,29,19,1610,17.9,1,6,7,1,0,0,3,0,0.06,0.34,0.39,0.06,0.39,Matches,2016-2017,,,,,,,,,,,,
58,Allan,br BRA,MF,Hertha BSC,de Bundesliga,19,1997,15,8,798,8.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017,,,,,,,,,,,,
59,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,26,1990,36,34,2930,32.6,6,2,8,6,0,0,9,0,0.18,0.06,0.25,0.18,0.25,Matches,2016-2017,,,,,,,,,,,,
60,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,20,1996,37,35,3034,33.7,18,7,25,17,1,1,4,0,0.53,0.21,0.74,0.50,0.71,Matches,2016-2017,,,,,,,,,,,,
